Number of bedrooms,Number of bathrooms,Living area,Lot area,Average Room Size,Floor Area Ratio,Number of floors,Waterfront present,Average views number,Condition of the house,Built Year,House Age,Renovation Year,Was Renovated,Postal Code,Number of schools nearby,Distance from the airport,Price
4,3,2920,4000,730,0.73,1.5,0,0,5,1909,114,1909,No,122004,2,51,1400000
5,3,2910,9480,582,0.31,1.5,0,0,3,1939,84,1939,No,122004,1,53,1200000
3,2,2710,4500,903,0.6,1.5,0,0,4,1929,94,1929,No,122006,1,51,805000
3,3,2600,4750,866,0.55,1.0,0,0,4,1951,72,1951,No,122007,1,67,790000
5,4,3660,11995,732,0.31,2.0,0,2,3,2006,17,2006,No,122008,3,72,785000
3,2,2240,10578,746,0.21,2.0,0,0,5,1923,100,1923,No,122006,3,71,750000
3,3,2390,6550,796,0.36,1.0,0,2,4,1955,68,1955,No,122009,1,73,750000
4,3,2200,11250,550,0.2,1.5,0,0,5,1920,103,1920,No,122010,2,53,698000
4,2,1820,5000,455,0.36,1.5,0,1,3,1945,78,1945,No,122006,2,69,650000
4,2,1520,6200,380,0.25,1.5,0,0,3,1945,78,1945,No,122006,3,80,640000
4,3,2820,8408,705,0.34,2.0,0,0,3,2014,9,2014,No,122014,3,55,625000
3,2,2360,7291,786,0.32,1.0,0,0,4,1948,75,1948,No,122016,2,75,615000
4,3,2730,12261,682,0.22,2.0,0,0,3,1991,32,1991,No,122017,2,70,612500
3,2,2330,14892,776,0.16,1.0,0,0,3,1980,43,1980,No,122019,1,60,588500
4,3,3310,6500,827,0.51,2.0,0,0,3,2012,11,2012,No,122008,2,80,555000
4,3,1940,10500,485,0.18,1.0,0,0,4,1976,47,1976,No,122005,1,58,550000
4,3,2860,3345,715,0.86,2.0,0,0,3,2004,19,2004,No,122021,3,73,499950
4,2,1600,6380,400,0.25,1.0,0,0,3,1959,64,1959,No,122022,3,50,495000
2,1,880,6380,440,0.14,1.0,0,0,3,1938,85,1994,Yes,122006,3,66,490000
5,3,2210,9655,442,0.23,1.0,0,0,3,1976,47,1976,No,122017,3,79,470000
3,2,1710,7320,570,0.23,1.0,0,0,3,1948,75,1948,No,122014,1,72,463000
3,3,2680,5539,893,0.48,2.0,0,0,3,2013,10,2013,No,122025,2,74,459990
4,3,2160,8119,540,0.27,1.0,0,0,3,1966,57,1966,No,122027,2,52,440000
2,1,800,4850,400,0.16,1.0,0,0,4,1944,79,1944,No,122026,2,60,440000
3,3,1770,2875,590,0.62,2.0,0,0,3,1990,33,1990,No,122009,3,68,439950
4,1,1450,8800,362,0.16,1.0,0,0,4,1954,69,1954,No,122027,2,62,435000
4,2,1920,10000,480,0.19,1.0,0,0,4,1954,69,1954,No,122027,2,64,430000
3,3,2000,8030,666,0.25,1.0,0,0,4,1963,60,1963,No,122029,1,61,420000
3,2,1570,6700,523,0.23,1.0,0,0,4,1956,67,1956,No,122030,3,78,419000
3,3,1930,10460,643,0.18,2.0,0,0,3,1996,27,1996,No,122015,1,63,407500
3,2,1960,13100,653,0.15,1.0,0,2,5,1957,66,1957,No,122031,3,72,403000
3,4,1320,1327,440,0.99,2.0,0,0,3,2008,15,2008,No,122032,2,51,385000
4,2,1560,8700,390,0.18,1.0,0,0,4,1967,56,1967,No,122033,3,74,382500
4,3,3110,7231,777,0.43,2.0,0,0,3,1997,26,1997,No,122023,3,66,367500
3,1,1090,6435,363,0.17,1.0,0,0,4,1955,68,1955,No,122034,3,80,365000
3,2,1930,11947,643,0.16,1.0,0,0,4,1966,57,1966,No,122035,2,66,342000
2,2,1350,2560,675,0.53,1.0,0,0,3,1976,47,1976,No,122005,1,77,335000
3,3,1580,16215,526,0.1,1.0,0,0,4,1978,45,1978,No,122036,3,56,335000
3,1,1160,9180,386,0.13,1.0,0,0,3,1968,55,1968,No,122037,1,52,315000
3,2,1340,7912,446,0.17,1.5,0,0,3,1955,68,1955,No,122038,3,65,313000
2,1,850,6174,425,0.14,1.0,0,0,4,1950,73,1950,No,122014,1,60,308500
3,3,2540,5050,846,0.5,2.0,0,0,3,2006,17,2006,No,122035,2,64,300000
3,3,1850,19966,616,0.09,1.0,0,0,4,1992,31,1992,No,122024,2,58,287200
4,3,2200,9397,550,0.23,2.0,0,0,3,1987,36,1987,No,122039,3,80,285000
3,3,2090,10834,696,0.19,1.0,0,0,4,1987,36,1987,No,122040,2,56,285000
3,2,1800,23103,600,0.08,1.0,0,0,3,1968,55,1968,No,122041,3,62,284000
3,2,1180,10277,393,0.11,1.0,0,0,3,1983,40,1983,No,122025,3,78,275000
4,2,1480,8625,370,0.17,1.0,0,0,4,1974,49,1974,No,122042,1,60,260000
3,2,1370,5858,456,0.23,1.0,0,0,3,1987,36,1987,No,122043,3,56,257950
